	"10_6_5_11" "9_6_5_11" "purep53" "JMS8-2" "JMS8-3" "JMS8-4" "JMS8-5" "JMS9-P7c" "JMS9-P8c"
"Xkr4" 1 2 342 526 3 3 535 2 0
"Gm19938" 0 0 5 6 0 0 5 0 0
"Gm10568" 0 0 0 0 0 0 1 0 0
"Rp1" 0 1 0 0 17 2 0 1 0
"Sox17" 1 1 76 40 33 14 98 18 8
"Mrpl15" 431 771 1368 1268 1564 769 818 468 342
"Lypla1" 768 1722 2517 1923 3865 1888 1830 1246 693
"Gm19860" 4 8 6 2 11 11 3 9 2
"Tcea1" 810 977 2472 1870 2251 1716 1932 756 619
"Rgs20" 452 358 17 14 622 571 12 203 224
"Atp6v1h" 1716 2678 2097 2071 5499 3630 1731 1715 1251
"Oprk1" 0 0 0 0 0 0 0 0 0
"Npbwr1" 0 0 0 0 0 0 0 0 0
"Rb1cc1" 3451 2699 3399 2716 5233 6280 3647 1866 2122
"Alkal1" 0 0 2 3 0 0 0 0 0
"St18" 0 0 0 1 0 0 0 0 0
"Pcmtd1" 2026 2033 3920 2715 3873 3688 3593 1609 1348
"Sntg1" 0 0 1 5 0 0 4 0 0
"Rrs1" 956 985 5497 4214 3462 2933 5336 649 731
"Adhfe1" 54 76 46 32 148 126 59 44 27
"2610203C22Rik" 16 28 12 12 67 24 14 18 11
"Vxn" 21 9 21 44 35 34 29 8 15
"Mybl1" 194 166 1007 862 632 594 901 100 131
"Vcpip1" 2390 2012 3500 3020 5412 4404 4173 1585 1522
"1700034P13Rik" 3 2 4 1 1 5 2 3 0
"Sgk3" 87 323 734 565 721 249 666 267 113
"620986" 71 194 383 206 307 110 206 112 50
"Mcmdc2" 0 0 9 8 3 1 7 0 1
"Snhg6" 289 487 824 565 709 517 662 335 271
"Snord87" 4 6 54 10 18 19 43 9 6
"100038398" 16 25 67 92 51 45 55 12 5
"Tcf24" 3 3 9 12 7 0 8 2 3
"Ppp1r42" 1 0 2 0 5 0 0 0 2
"Cops5" 1804 2499 4073 3409 5545 3344 3020 1731 1264
"Cspp1" 745 826 1373 1008 1740 2137 1695 759 624
"Arfgef1" 6696 7131 11369 7972 17002 15128 11439 4956 4260
"Cpa6" 2 0 802 553 0 3 616 0 1
"Prex2" 41 94 333 240 368 292 695 106 68
"A830018L16Rik" 0 2 45 40 5 0 40 0 1
"Gm17644" 0 0 0 0 0 0 0 0 0
"Sulf1" 106 103 2214 2008 152 232 2997 48 52
"Slco5a1" 12 6 22 34 22 21 47 6 4
"Prdm14" 12 6 13 30 15 13 14 1 2
"Ncoa2" 4445 5657 6923 6358 12641 7967 7380 3986 2972
"Tram1" 5442 5371 6222 5709 13524 13690 6145 2981 3710
"Lactb2" 334 890 379 354 1607 848 277 719 318
"Xkr9" 1 1 0 0 1 1 0 0 2
"Gm5523" 0 5 19 3 4 1 3 0 0
"Eya1" 1 1 1139 1001 8 24 948 9 10
"Msc" 26 223 7 2 210 40 8 112 31
"Trpa1" 0 0 0 0 0 0 0 0 0
"Kcnb2" 0 0 1 0 0 1 4 0 0
"Terf1" 266 375 822 520 633 445 540 364 217
"Sbspon" 8 19 4535 3779 35 53 3958 15 10
