"logFC" "logCPM" "F" "PValue" "FDR"
"HOXB3" 8.81605312351207 5.13355225093024 373.733559464512 2.65862957794172e-09 5.97154789501489e-05
"CERS1" -4.65695848660132 6.07253674866345 259.662898249232 1.58157366387754e-08 6.31437677381451e-05
"CNN1" 9.50213766059422 9.53111022995672 249.022274113204 1.93871366158484e-08 6.31437677381451e-05
"DES" 11.4810912142063 13.7803905191574 245.645506927818 2.07175298518979e-08 6.31437677381451e-05
"MMP2" 6.34723193080782 7.59407466526336 241.863747867749 2.23396431610976e-08 6.31437677381451e-05
"SMTN" 6.23637960880356 9.51838168476902 241.091998692096 2.26891244034407e-08 6.31437677381451e-05
"ACTA2-AS1" 6.8729913610265 8.56068913897066 239.806382590862 2.32859705371636e-08 6.31437677381451e-05
"MYL9" 7.76339301941648 11.0298981518631 234.30811441091 2.60608080219338e-08 6.31437677381451e-05
"C7" 7.99109205954308 7.76880291006093 232.32494065242 2.71578070271972e-08 6.31437677381451e-05
"PTGDS" -5.01473565412292 8.06698754361594 221.812793398394 3.39889980178272e-08 6.31437677381451e-05
"GDF1" -4.79624864178126 5.71538757168875 221.327813932623 3.4351072589699e-08 6.31437677381451e-05
"CLMP" 7.19591439473357 4.22976516926628 217.918803611172 3.70308800666611e-08 6.31437677381451e-05
"LMOD1" 6.01697966638031 8.39770350036207 217.524672235409 3.73566008682084e-08 6.31437677381451e-05
"FGFR3" -6.90072455182947 6.11636590752464 215.190378364393 3.93576754522965e-08 6.31437677381451e-05
"TCF21" 9.74560571655223 4.31620887643138 204.238363345822 5.06528395546597e-08 7.58475619491474e-05
"CARMN" 5.88937434641104 4.1707233156784 195.040078797808 6.32510485408594e-08 8.47681334692826e-05
"MRO" -8.22318069843096 4.6635262139826 193.310847877571 6.60217145158618e-08 8.47681334692826e-05
"HAND2-AS1" 12.3992046883652 5.5030021475574 190.859592576067 7.02027883899017e-08 8.47681334692826e-05
"MYH11" 10.0473847280983 12.2959981720102 190.020588465881 7.17062702424812e-08 8.47681334692826e-05
"ACTA2" 6.67160365702183 9.63038976829658 179.185939897788 9.50627297929753e-08 0.000102544365202403
"COL5A1" 5.27957758564053 7.26812172242946 178.868612585525 9.58742562330469e-08 0.000102544365202403
"HOXB2" 8.19675118597667 4.3623358404923 169.945633136039 1.22502155791773e-07 0.000125069132783591
"HAND2" 13.6417851241558 5.95147441390098 167.592491803211 1.30947843754353e-07 0.000127879109502892
"NEBL" -5.81521374271376 5.8070628885204 163.665709373844 1.46651123506901e-07 0.00013488757789212
"EMX2" -6.19221925117084 3.44593795375622 162.862588999492 1.50135321103379e-07 0.00013488757789212
"PLN" 7.53679273418166 7.1045477087833 155.624266971069 1.86465627169513e-07 0.000150613318465848
"WWC1" -6.09778970890608 4.96236839776638 155.569655912585 1.86777460873599e-07 0.000150613318465848
"NTSR2" -9.02129526684544 4.02909773393166 154.661241755923 1.92057397020993e-07 0.000150613318465848
"ENHO" -8.19557102888615 6.28338823732956 153.710941952103 1.97773402007442e-07 0.000150613318465848
"CFD" 5.42782282746483 5.94350867352263 153.009734841816 2.02122138786372e-07 0.000150613318465848
"GRM3" -8.07765860283892 4.04765770439177 150.477879501306 2.18808384908337e-07 0.000150613318465848
"RBPMS2" 5.162645285299 5.6742012684871 149.735903331214 2.24007903701251e-07 0.000150613318465848
"CTNND2" -5.44368030121348 6.32426902935502 149.565076493588 2.25225890520022e-07 0.000150613318465848
"MFAP4" 6.1277561365054 6.93556696950759 148.456830167592 2.33323305536097e-07 0.000150613318465848
"HOXA3" 9.37899426649676 3.01677713540599 148.273769417613 2.34694187538609e-07 0.000150613318465848
"NKX3-2" 11.4954609993754 3.82261659840834 146.983260178165 2.44637180476537e-07 0.000152633214185653
"ACBD7" -8.11630362524348 5.20714847100157 144.784423221187 2.6276767950546e-07 0.000158136085279365
"PLLP" -4.50023879502369 4.08448533772448 144.235983662794 2.67538009911218e-07 0.000158136085279365
"MYOC" 7.97283397003315 3.45538012593777 142.594080562309 2.82452602772466e-07 0.00016267097207365
"MFAP2" 6.37767296265501 2.51590187010822 140.66656462688 3.01253067008679e-07 0.000166889044049849
"FAM107A" -5.22746957365873 9.13201073643141 139.937480026296 3.0875295489515e-07 0.000166889044049849
"EBF2" 5.33937398444322 2.77492871921094 138.442359136149 3.24844867253026e-07 0.000166889044049849
"AGTR1" 5.79188554804541 3.60608032491773 138.340428818429 3.25978095308584e-07 0.000166889044049849
"MLC1" -10.5311981692499 6.70747561133867 138.255361746611 3.26927471537035e-07 0.000166889044049849
"NDE1" 6.17935359710723 8.2742544970393 134.310062715774 3.74837367070987e-07 0.000187093824484032
"FMOD" 6.68082963344951 5.95720851194681 132.832125201594 3.94923398743271e-07 0.000192834227373317
"AOC3" 6.5320522294101 6.81414270804143 130.538711319097 4.2870927176268e-07 0.000201709756114704
"BAG2" 3.78005172302071 5.43451818316119 130.3230055822 4.32061909965094e-07 0.000201709756114704
"GABRG1" -8.14162813865438 3.97571191991388 129.467690292013 4.45668928762299e-07 0.000201709756114704
"RFX4" -8.92404289924611 3.75811116160007 129.261708400689 4.49022207637024e-07 0.000201709756114704
"FENDRR" 6.1454580873119 5.79994021771027 128.297277043064 4.65130711510026e-07 0.000204849037475033
