"logFC" "logCPM" "F" "PValue" "FDR"
"MYF6" 13.1047095505256 7.5928329223371 412.016319927343 1.64438940232172e-09 2.24952794242644e-05
"PCDH10" -8.60956273995445 4.23487893818099 357.66573669546 3.30007400990121e-09 2.24952794242644e-05
"SYPL2" 6.69365284364002 6.35048932500662 347.915851766068 3.78012941603179e-09 2.24952794242644e-05
"SRL" 8.98705291523134 8.10281765908225 343.8271772048 4.00610470135157e-09 2.24952794242644e-05
"TMOD4" 10.6209573584997 6.98814739231793 310.780852743596 6.57568361540961e-09 2.44533385396789e-05
"CTNND2" -9.649720412396 6.32426902935502 305.527106250057 7.1481376205952e-09 2.44533385396789e-05
"PSAT1" -9.09830534609401 5.45648768832513 299.332483271277 7.90173981218339e-09 2.44533385396789e-05
"TTN" 11.3091098820898 13.350358594133 292.478828633586 8.84940037208041e-09 2.44533385396789e-05
"UNC45B" 12.157828033867 7.19632440359654 271.111510222187 1.28167131016948e-08 2.44533385396789e-05
"DES" 12.3643237485312 13.7803905191574 268.559845465206 1.34215050937045e-08 2.44533385396789e-05
"SCRG1" -8.95707716053835 4.74645075896611 260.078348494984 1.56930874932274e-08 2.44533385396789e-05
"DUSP13" 11.1408663785488 6.46917742495038 259.618649643473 1.58288672758497e-08 2.44533385396789e-05
"MYOZ1" 10.1366213937216 9.4107368385876 255.117151543737 1.7235697840194e-08 2.44533385396789e-05
"FGFR2" -7.90685877641366 5.55796760515361 254.43941123459 1.74602669415635e-08 2.44533385396789e-05
"TNNC1" 13.6263941668798 10.1678874263802 253.743154981978 1.76946326434412e-08 2.44533385396789e-05
"WWC1" -9.1131973781186 4.96236839776638 242.293068403822 2.21480210980694e-08 2.44533385396789e-05
"PTPRZ1" -9.63064411172598 6.38317105442848 241.850539500303 2.23455699900432e-08 2.44533385396789e-05
"LOC107985290" 7.77611968887733 5.21490177305726 241.616916968887 2.24507126362714e-08 2.44533385396789e-05
"TTYH1" -9.33252543387736 6.80959282338635 238.657894657913 2.38351284824097e-08 2.44533385396789e-05
"CA3" 9.67255286706459 9.10368958754166 238.341655889691 2.39890565270561e-08 2.44533385396789e-05
"SCD5" -7.79961454555307 6.85043396776296 236.278097998258 2.50232643831666e-08 2.44533385396789e-05
"NPAS3" -6.94691918518141 3.78999660219781 235.158591629054 2.56066778484035e-08 2.44533385396789e-05
"ALPK3" 6.73469976908559 8.08786001161648 231.697746243354 2.75162019098272e-08 2.44533385396789e-05
"FGFR3" -7.34002449217585 6.11636590752464 230.542134993059 2.81915058074374e-08 2.44533385396789e-05
"HOXB3" 6.34157016817299 5.13355225093024 230.443263323587 2.8250200594657e-08 2.44533385396789e-05
"SMTNL2" 9.67072553938428 7.41163168719415 230.349068292159 2.83062553773942e-08 2.44533385396789e-05
"LOC101929592" 12.2283238685353 4.54324404092021 223.33403933067 3.28825723200629e-08 2.66964770684738e-05
"RAB36" -5.72182417059858 3.45938159895198 222.780686223816 3.32799678517103e-08 2.66964770684738e-05
"DUPD1" 9.78184476424508 4.03186766000287 219.887187808869 3.54541949876235e-08 2.67986402303818e-05
"KLHL41" 11.7316824356989 11.2392230538828 219.454763910228 3.57935624821447e-08 2.67986402303818e-05
"ANKRD23" 8.44824329924279 8.90933481273679 210.857386024573 4.34237770725493e-08 3.14626276395655e-05
"KIF1A" -10.1185224358109 8.22116670332139 203.258736512579 5.18414843806188e-08 3.57964909770131e-05
"TTN-AS1" 8.94039512166811 8.51942833844134 198.578325316242 5.80038645316928e-08 3.57964909770131e-05
"COX6A2" 11.0505767872111 7.93668470176588 196.030746019492 6.1726530450047e-08 3.57964909770131e-05
"APLP1" -9.11761415148712 6.76186901264195 195.476738818183 6.25735841256771e-08 3.57964909770131e-05
"HOXC9" 10.9615141634485 3.25044653550361 195.029430688313 6.32676782290597e-08 3.57964909770131e-05
"PHKA1" 4.34672919299033 6.80745232997253 194.691812573479 6.37976805252656e-08 3.57964909770131e-05
"DNAJC6" -5.89072636236433 5.0948174668185 193.509958195325 6.56953822122848e-08 3.57964909770131e-05
"ENO3" 10.6085603591763 10.4483803773491 193.449366396126 6.57944842567676e-08 3.57964909770131e-05
"EBF2" 6.6049991927817 2.77492871921094 193.005258417553 6.65263479742587e-08 3.57964909770131e-05
"TNNT3" 13.9115112732149 10.161234972281 192.926679861408 6.66568544751251e-08 3.57964909770131e-05
"PPP1R27" 11.9715788378817 7.04209409370388 192.759138994225 6.69361391315859e-08 3.57964909770131e-05
"SLC4A8" -7.73107720589591 4.05030576139891 191.438969701874 6.91865794399505e-08 3.60207662696713e-05
"HOXC10" 13.2628666818003 5.55273064085735 190.111419482483 7.15416525367706e-08 3.60207662696713e-05
"SEC14L2" -5.57659847652513 5.0553198314895 189.767901476531 7.21666213496821e-08 3.60207662696713e-05
"OLFM2" -6.6825536364687 5.75520963991689 188.568750368846 7.44001547377396e-08 3.63283016427037e-05
"TCEA3" 6.53596337421314 7.4472361795528 186.736526203253 7.79750479151054e-08 3.72637776855571e-05
"NEB" 11.597063491104 12.5970225763022 184.924152849746 8.17156118983176e-08 3.75563662567904e-05
"PDLIM3" 7.1697714141958 9.83191524533549 184.522861687 8.25726905376975e-08 3.75563662567904e-05
"TP63" 8.10201274033999 5.11109705923625 184.046787184809 8.3603504422756e-08 3.75563662567904e-05
"FAM46C" 5.53501037617817 4.26297186039023 179.71751041437 9.37216664708498e-08 4.12761245216031e-05
"PTGDS" -4.35904457325669 8.06698754361594 178.385939391736 9.71246125511148e-08 4.19522292790498e-05
"CLU" -6.69139707996152 10.4724450006096 176.938517206594 1.0099304024776e-07 4.2800088245376e-05
"RIF1" 4.3929490376075 7.89289846850569 174.460367365886 1.08054080181148e-07 4.4944494350903e-05
"SCRN1" -5.19466930672901 6.78981981643368 173.692153027958 1.10362087825309e-07 4.5069870084441e-05
"SIX1" 6.6916045977111 4.98801253678292 172.926751940763 1.12720643746772e-07 4.52110424856473e-05
"PMP2" -9.80412584886281 6.78570181399476 172.265772108673 1.1480617390214e-07 4.52396749476485e-05
"UCP3" 8.13656323246139 8.15532898841027 170.826708560291 1.19508876796087e-07 4.59256419821593e-05
"NRCAM" -7.43250204943483 6.23567258466895 170.491764722222 1.20636341968185e-07 4.59256419821593e-05
"KNDC1" -8.84924632715926 5.20569615493568 169.237745320382 1.24972327212378e-07 4.66290369509336e-05
"CLTCL1" 6.44114125420062 7.02576846291611 167.826709395096 1.30076595567921e-07 4.66290369509336e-05
"CYB5R1" 3.74182028129328 7.20459168031284 166.889279064546 1.33606008516895e-07 4.66290369509336e-05
"ATP1B2" -5.80518148123728 7.4698131468457 166.030429748562 1.36940735687168e-07 4.66290369509336e-05
"TRIM63" 13.2251665403172 9.44651944820549 165.429547557085 1.39333222564442e-07 4.66290369509336e-05
"ENHO" -8.78898029421849 6.28338823732956 163.848235289482 1.45872831161739e-07 4.66290369509336e-05
"GALNT13" -7.36912420020457 2.47784114334499 163.821555429612 1.45986284923969e-07 4.66290369509336e-05
"USP13" 6.02403438850239 7.93710422086432 163.783306695183 1.46149118828988e-07 4.66290369509336e-05
"PLN" 7.80761119739442 7.1045477087833 163.268547890029 1.48361886816309e-07 4.66290369509336e-05
"NCAM2" -6.13617580857939 4.75172290829473 162.86829826366 1.50110204594336e-07 4.66290369509336e-05
"ACBD7" -9.42058972227319 5.20714847100157 162.741484559157 1.50669278731259e-07 4.66290369509336e-05
"CFD" 5.64912926358841 5.94350867352263 162.388672696649 1.52237872540662e-07 4.66290369509336e-05
"HJV" 12.5968364463249 7.33833989645285 162.254428662635 1.52839853515749e-07 4.66290369509336e-05
"TACC2" 5.80213384296369 8.81010892896339 162.226116567216 1.52967175427023e-07 4.66290369509336e-05
"CERS1" -3.48204340668769 6.07253674866345 162.080507518733 1.53624003132945e-07 4.66290369509336e-05
"RPUSD4" 3.6279526919859 5.93148618252187 160.683921574224 1.60098671635394e-07 4.76402452208146e-05
"NEBL" -5.76633697607253 5.8070628885204 160.453610803908 1.61197570757398e-07 4.76402452208146e-05
"ABCB1" -5.66202281997357 3.71853210503359 158.845033060004 1.69129980308075e-07 4.79371950862244e-05
"C1orf61" -10.9527879080116 6.62500759006194 158.791412201745 1.69402360602779e-07 4.79371950862244e-05
"CAVIN4" 6.13470835692627 5.27409626563031 158.232300280766 1.72274057265154e-07 4.79371950862244e-05
"GRM3" -8.95339414428266 4.04765770439177 158.005415620211 1.7345599432676e-07 4.79371950862244e-05
"TCEAL2" -8.94662354091566 5.53123841896715 157.723518780045 1.74938079275808e-07 4.79371950862244e-05
"LSAMP" -9.47578618678347 5.71701761549467 157.710329913816 1.75007791152237e-07 4.79371950862244e-05
"B3GAT1" -9.14194405297476 6.14593082988739 156.801729574195 1.79891516620115e-07 4.86812452386073e-05
"ZNF365" -9.64686442131857 4.20543147115828 155.716227982887 1.85941930751731e-07 4.97195441263646e-05
"MFSD2A" -5.62163845634431 3.84102162435005 154.71316128838 1.91750847636245e-07 5.0383042186191e-05
"ARHGEF26-AS1" -8.04824963224988 2.72720144074106 154.481895435267 1.93120842472889e-07 5.0383042186191e-05
"GYG2" -5.88343186187987 2.74933274450208 153.861818049502 1.96852412047161e-07 5.0383042186191e-05
"MB" 13.7188968411163 11.9841561803439 153.772693746642 1.97395828876043e-07 5.0383042186191e-05
"MAPK4" -5.47945919433507 5.88899014153648 152.801933324732 2.03432828549409e-07 5.06410909915089e-05
"HOXC8" 12.3234910859616 2.8168394547448 257.12738463702 2.05074368643812e-07 5.06410909915089e-05
"DNER" -6.46331751465939 5.30473766517787 152.528864301132 2.05170708349019e-07 5.06410909915089e-05
"TMEM159" 4.68757371957832 5.21655955129906 152.146280314696 2.07635592496194e-07 5.06924243810544e-05
"CADM4" -4.1871775347795 5.90699621387461 151.367532135349 2.12763387684519e-07 5.13857897933547e-05
"PPP1R1B" -8.36763383339442 6.13621244648968 150.734794076089 2.17041807302671e-07 5.18614471683541e-05
"IQCA1" -8.1985779723518 2.84453745376408 150.047784799314 2.2180450092119e-07 5.24415883704299e-05
"BEX1" -10.7022192393754 5.64540916781158 149.452145340263 2.26035442410202e-07 5.28626588908764e-05
"STAC3" 8.44361575449118 9.0178397751878 149.023558320406 2.29139687851371e-07 5.28626588908764e-05
"GABRG1" -10.3513763948584 3.97571191991388 148.269080159657 2.34729430459305e-07 5.28626588908764e-05
"MAP7" -5.58748261055814 3.94662717621806 148.067980361048 2.36246816098543e-07 5.28626588908764e-05
"TBX15" 6.63120468715249 5.95462216575351 147.676356780657 2.39235661734064e-07 5.28626588908764e-05
"FHL3" 6.95605700918805 8.85948070822036 147.637382591056 2.39535582526535e-07 5.28626588908764e-05
"TNNC2" 11.2760024526401 10.8906115388247 147.445813592425 2.41016343856026e-07 5.28626588908764e-05
"FRMD5" -9.65144115456962 3.51293333594521 146.881039022871 2.45446133912008e-07 5.28626588908764e-05
"PLP1" -8.37121415389631 8.40795616694938 146.781617642113 2.46236007647725e-07 5.28626588908764e-05
"RPL3L" 14.1105908971213 7.19148610311671 146.670707854592 2.4712075079213e-07 5.28626588908764e-05
"PTPRD" -4.61870543738808 4.45065330408126 145.874383693529 2.53586259283129e-07 5.37339714128146e-05
"MMP2" 4.51682651415907 7.59407466526336 145.345791899399 2.5799006146565e-07 5.41562128091586e-05
"SVIL" 7.76686868364474 10.4640169659641 144.861003305008 2.62109725041558e-07 5.43468782155953e-05
"OFD1" -4.57896879762626 7.69804369778437 144.671953727117 2.63737577378562e-07 5.43468782155953e-05
"CD300LG" 7.3390286322536 3.66794035461847 143.985832818718 2.69748252598855e-07 5.50256818273548e-05
"CMYA5" 9.01696593172092 11.1978394643165 143.741150712681 2.71931378070272e-07 5.50256818273548e-05
"PLEKHH1" -3.56842614370424 5.2290163253607 143.226976629143 2.76588385020841e-07 5.54683188924386e-05
"MRO" -6.51746702115609 4.6635262139826 142.512497002838 2.83219324585543e-07 5.62954800842114e-05
"RAB39B" -8.67156430146928 2.43870909097384 141.270117207796 2.95209189494879e-07 5.7833489113624e-05
"GAP43" -9.76214032095305 6.50892867158466 141.179564588981 2.96106640312843e-07 5.7833489113624e-05
"FAM167A" -8.26880921542345 4.09709942608774 140.172943092105 3.06306600960079e-07 5.88296085229922e-05
"TMEM132A" -4.74128727199231 5.68485781113183 140.159548907692 3.06445135888433e-07 5.88296085229922e-05
"TRIM2" -3.75104580336707 5.62722338816964 138.448661405029 3.24774955783823e-07 6.12353488851018e-05
"MYOG" 8.6741782778706 4.38039669153584 137.944667664678 3.30423187674528e-07 6.12353488851018e-05
"MAP9" -4.51408690945284 3.57589207398047 137.877167171333 3.31188569325279e-07 6.12353488851018e-05
"CKM" 14.7017155297044 13.2907999182829 137.75894617832 3.32534191472871e-07 6.12353488851018e-05
"LOC105369937" 11.7223449873562 6.78527069076921 137.75246156662 3.32608190373644e-07 6.12353488851018e-05
"MYO18B" 11.1825397716244 7.87922436575975 137.391214602615 3.36761895970013e-07 6.14960076860363e-05
"CHRNB1" 4.25873585877706 6.19824524598217 136.444232043829 3.47949142342298e-07 6.25934765329267e-05
"SVIL-AS1" 4.45275446823818 7.64416621376645 136.41136631456 3.48345334874486e-07 6.25934765329267e-05
"OPTN" 4.40121236176726 9.44390818412373 136.048408180606 3.52756906163189e-07 6.28831180105666e-05
"TRIM72" 8.87517153345926 5.32593554036491 135.126695791085 3.64264262949304e-07 6.44231465362545e-05
"MLC1" -10.5573958784435 6.70747561133867 134.400812318849 3.73644416505815e-07 6.53195964396648e-05
"UGT8" -8.13354865743489 3.04072926829177 134.19170244479 3.76400140341571e-07 6.53195964396648e-05
"GPD1" 5.31132259563221 6.83468348999759 134.06682678514 3.78057412277122e-07 6.53195964396648e-05
"LOC100996724" 5.03166243236889 8.81863397953046 133.716027431974 3.82760003884817e-07 6.5627270589747e-05
"SYT11" -4.77352718461911 6.64813094399 132.828137804886 3.94979310180456e-07 6.72093203482061e-05
"APBA2" -8.86643727828861 5.28630610457268 132.584905500133 3.98407933281696e-07 6.7283011950678e-05
"SYNPO2L" 8.61358293849942 6.48215585851971 131.53882473461 4.13566320794197e-07 6.89110630581152e-05
"FEM1A" 4.95092440543933 8.34138414972196 131.49715670578 4.14184297798208e-07 6.89110630581152e-05
"MEOX1" 9.06489267551668 2.66957698319325 131.088245695169 4.20307937866023e-07 6.94157102382996e-05
"NACAD" -3.9839755122294 4.99138483817728 130.662773756255 4.26795134928136e-07 6.94607795027093e-05
"FGF1" -5.91203252486722 6.14337810407565 130.635998150668 4.27207382775138e-07 6.94607795027093e-05
"AK5" -8.93313443023131 5.48895576919575 130.464553781874 4.29858347841886e-07 6.94607795027093e-05
"CERCAM" -4.56222266520465 6.13809375005372 129.776596570991 4.40696163001289e-07 7.0589409066994e-05
"MYOC" 7.49106934414631 3.45538012593777 129.62498880098 4.43128386022268e-07 7.0589409066994e-05
"PAQR8" -5.20080226769156 5.19096076042503 129.062763117555 4.52289677901803e-07 7.06510344410352e-05
"PSD2" -7.84062146564854 5.51486731653638 128.655535227825 4.5906727592465e-07 7.06510344410352e-05
"RAD23A" 3.33733905610337 8.53954618139944 128.513412829191 4.6146126169333e-07 7.06510344410352e-05
"RAB11FIP4" -7.31940002425055 5.24916320069794 128.484206541958 4.61955079549512e-07 7.06510344410352e-05
"FILIP1" 5.46439746215262 6.12882760840782 128.388627109391 4.63575563188543e-07 7.06510344410352e-05
"MYL2" 13.9664004366731 10.7535626433808 128.310776363884 4.64900505123188e-07 7.06510344410352e-05
"PYGO1" 3.15158438329944 4.78234726841088 128.273663306145 4.65533729454308e-07 7.06510344410352e-05
"TCAP" 10.2591502006993 10.063282733556 127.853238430238 4.72779703601864e-07 7.08429972471994e-05
"COPG2IT1" -7.34858203299221 5.2881907462056 127.795405947885 4.73786981203725e-07 7.08429972471994e-05
"PSRC1" -4.95722719389865 3.81504594510494 127.524096047162 4.78546902973746e-07 7.08429972471994e-05
"PDE4DIP" 5.52571751381971 10.3686435980635 127.47497614647 4.79414789260242e-07 7.08429972471994e-05
