"logFC" "logCPM" "F" "PValue" "FDR"
"MYF6" 13.5603215119862 7.5928329223371 426.668517805863 1.38397077184068e-09 3.10853675063136e-05
"SRL" 8.61497902550246 8.10281765908225 326.674702716871 5.14976838661784e-09 3.16521911449117e-05
"MYOZ1" 11.8178625374655 9.4107368385876 305.227284138863 7.18257148340744e-09 3.16521911449117e-05
"LOC107985290" 9.42887426761478 5.21490177305726 300.617020174972 7.73793102243297e-09 3.16521911449117e-05
"DUSP13" 13.5843439575755 6.46917742495038 299.27215985036 7.90953410327011e-09 3.16521911449117e-05
"TMOD4" 10.0431069668982 6.98814739231793 295.217323287977 8.455240054738e-09 3.16521911449117e-05
"SIX1" 10.143380567952 4.98801253678292 275.735423647157 1.18018456067192e-08 3.78687505960744e-05
"UNC45B" 11.5798994507251 7.19632440359654 262.849620168583 1.49034815433365e-08 3.98602904623697e-05
"CA3" 10.2947145675721 9.10368958754166 257.297517227053 1.65363458121385e-08 3.98602904623697e-05
"GPD1" 8.38042526320456 6.83468348999759 250.375668375491 1.88828127127982e-08 3.98602904623697e-05
"TTN" 9.90837549195581 13.350358594133 248.669880304118 1.95210896703649e-08 3.98602904623697e-05
"FGFR2" -7.58123933297568 5.55796760515361 239.466375761686 2.34469524706616e-08 4.38868332869608e-05
"CSRP1" -5.92904028447448 10.1198203359812 224.674589827523 3.19431781962168e-08 4.51910118223193e-05
"MYH14" 6.39817015679061 7.99676929160689 220.84000259353 3.47199340101789e-08 4.51910118223193e-05
"CARMN" -6.54792073941335 4.1707233156784 220.76899297645 3.47740232575634e-08 4.51910118223193e-05
"TBX15" 9.13474588441363 5.95462216575351 220.377258636741 3.50742356282193e-08 4.51910118223193e-05
"LOC101929592" 11.1745187516827 4.54324404092021 219.099865272983 3.60749995734934e-08 4.51910118223193e-05
"TNNC1" 11.7394801774561 10.1678874263802 216.971237228536 3.781978946327e-08 4.51910118223193e-05
"FENDRR" -9.69675201278097 5.79994021771027 216.490698930867 3.82275599761394e-08 4.51910118223193e-05
"KLHL41" 11.4719856082816 11.2392230538828 213.948510220502 4.04745631044973e-08 4.52534566034164e-05
"DUPD1" 9.05014737533858 4.03186766000287 209.258003187726 4.50506457153009e-08 4.52534566034164e-05
"CNN1" -8.23256578109657 9.53111022995672 207.293907824688 4.71495640985507e-08 4.52534566034164e-05
"PPP1R27" 13.0064041391285 7.04209409370388 207.220438641046 4.72303242496651e-08 4.52534566034164e-05
"CHRNB1" 5.56791791411945 6.19824524598217 205.353433265951 4.93393590463725e-08 4.52534566034164e-05
"PHKA1" 4.48299365652338 6.80745232997253 204.476433055105 5.03689245841864e-08 4.52534566034164e-05
"SCRG1" -7.59501862180457 4.74645075896611 202.122879611921 5.32618089253737e-08 4.60120573181853e-05
"COX6A2" 11.0354652437143 7.93668470176588 196.880892170556 6.04532530971361e-08 5.02903895486953e-05
"NEB" 11.9271027561486 12.5970225763022 191.269294926313 6.9482347553015e-08 5.57372502995811e-05
"STAC3" 10.1219038152131 9.0178397751878 186.881636437444 7.76845216787839e-08 5.8263327815721e-05
"CAVIN4" 6.91000601520584 5.27409626563031 186.245963612209 7.89668950525272e-08 5.8263327815721e-05
"SMTNL2" 8.08548481658988 7.41163168719415 185.543660257041 8.0413301379607e-08 5.8263327815721e-05
"UCP3" 8.49556818074317 8.15532898841027 180.737276507873 9.12118744529473e-08 6.2154289037358e-05
"ANKRD23" 7.48037208493393 8.90933481273679 179.906406305138 9.32505812347539e-08 6.2154289037358e-05
"MYOG" 12.240354910556 4.38039669153584 179.572549531602 9.40851176381359e-08 6.2154289037358e-05
"HOXC9" 9.20627975733513 3.25044653550361 177.712732508006 9.89013404880703e-08 6.34692288200728e-05
"ENO3" 9.78388559466095 10.4483803773491 175.341882429939 1.05476544299517e-07 6.45985103846582e-05
"CA3-AS1" 8.43875848541644 5.37295760307495 174.229923582988 1.08740295509658e-07 6.45985103846582e-05
"ACTA2-AS1" -5.48963230251128 8.56068913897066 174.046861901789 1.09289140938383e-07 6.45985103846582e-05
"SYNPO2L" 10.8695234903075 6.48215585851971 169.471787461252 1.24149088728808e-07 7.13322203894786e-05
"MYL9" -6.10861682970051 11.0298981518631 168.367970308509 1.28089633214129e-07 7.13322203894786e-05
"C7" -6.27831424771065 7.76880291006093 167.441700553321 1.31512461852187e-07 7.13322203894786e-05
"HOXC10" 10.339705346046 5.55273064085735 166.66973779978 1.34449093395872e-07 7.13322203894786e-05
"SYPL2" 4.06855581312576 6.35048932500662 166.127084657083 1.36560503839882e-07 7.13322203894786e-05
"CACNA1S" 11.1190895369127 7.17874801599618 163.144897816905 1.48899381469888e-07 7.60097501635263e-05
"HJV" 12.3740826596801 7.33833989645285 162.28119652916 1.52719592913098e-07 7.62274394760241e-05
"SLC29A2" 5.66556036517754 5.89857048625225 159.020621371719 1.68241702264556e-07 8.21494972731346e-05
"USP13" 5.85996070146474 7.93710422086432 157.475018220352 1.76257182537339e-07 8.27980155991649e-05
"MYLK" -6.21441572102817 9.29340729273346 157.346798293242 1.7694246688749e-07 8.27980155991649e-05
"TNNC2" 11.8571647287084 10.8906115388247 156.606781956233 1.8096054131213e-07 8.29500962941175e-05
"TRIM72" 10.0698630271622 5.32593554036491 154.175351410294 1.94954900957777e-07 8.63964267322228e-05
"RYR1" 9.55903778448431 10.4804947645393 153.973838385797 1.96171931941737e-07 8.63964267322228e-05
"COL5A1" -4.72133442208395 7.26812172242946 150.827198845565 2.16410602897012e-07 8.88171321214127e-05
"TTN-AS1" 7.21779249777512 8.51942833844134 150.376690989307 2.19508896707777e-07 8.88171321214127e-05
"FEM1A" 5.40651340318777 8.34138414972196 150.123223764652 2.21275441174305e-07 8.88171321214127e-05
"TRIM63" 11.9265486720418 9.44651944820549 149.450249513705 2.26049062458662e-07 8.88171321214127e-05
"CYB5R1" 3.49956450048388 7.20459168031284 149.335208036079 2.2687739023016e-07 8.88171321214127e-05
"PCDH10" -5.03600055267893 4.23487893818099 148.847449227446 2.30430035811197e-07 8.88171321214127e-05
"PPP1R14C" 7.38756963442037 3.99563126206752 148.832168618378 2.30542406572187e-07 8.88171321214127e-05
"CACNA1C-AS1" -5.01575790108558 2.54908563745644 148.459598412542 2.33302648820772e-07 8.88171321214127e-05
"NFASC" -4.6383496006944 7.33926126852654 146.819337297946 2.45935977933981e-07 9.20661333395859e-05
"CLTCL1" 5.814081688989 7.02576846291611 145.298485074363 2.58388634631538e-07 9.4955052032255e-05
"PTPRZ1" -6.74475545833823 6.38317105442848 144.86117616541 2.62108242108535e-07 9.4955052032255e-05
"PDE4DIP" 5.98614575506459 10.3686435980635 143.235967389891 2.76506136232051e-07 9.5125673664297e-05
"RIF1" 3.87737018895433 7.89289846850569 142.774842516019 2.80762645842906e-07 9.5125673664297e-05
"TNNT1" 12.5566462532015 10.6754858051295 142.527009427531 2.83082754702523e-07 9.5125673664297e-05
"TP63" 6.56198893711436 5.11109705923625 142.376290249196 2.84504960635566e-07 9.5125673664297e-05
"TRDN" 11.2743879651644 9.58389371651477 142.360960330149 2.84650094981656e-07 9.5125673664297e-05
"LOC105369937" 11.9721261826989 6.78527069076921 141.891146313048 2.89141343324488e-07 9.5125673664297e-05
"AHNAK2" -4.71533375128235 6.63668039402367 141.256616129169 2.95342789292199e-07 9.5125673664297e-05
"FOXF1" -7.40253115758151 5.52819422317084 141.143960132733 2.96460404990908e-07 9.5125673664297e-05
"LGR5" 7.82237355958131 4.77502524290656 140.620672583264 3.01718660100917e-07 9.54493355567141e-05
"RBPMS2" -4.92026483920395 5.6742012684871 138.732844961305 3.21641143896283e-07 0.000100338635181311
"MYO18B" 11.1955519283798 7.87922436575975 138.323264976138 3.2616938304467e-07 0.00010035740428173
"RPL3L" 12.3693643602446 7.19148610311671 137.44611779828 3.36126616547674e-07 0.000102023512625369
"ATP2B4" -3.90344307285692 8.0876219215736 136.947347736632 3.4195102477468e-07 0.000102407492899521
"NKX3-2" -11.0197880848019 3.82261659840834 134.544551821083 3.71764182910267e-07 0.000109870990951941
"CACNG6" 11.6487353398 4.55085458688327 134.014049823506 3.78760463245856e-07 0.000110219967003318
"MAPKAPK3" 3.997017453277 6.53245425392773 133.460530950652 3.86229185618621e-07 0.000110219967003318
"MYBPC1" 12.8383272097505 12.1472684904881 133.244575641553 3.89190888104028e-07 0.000110219967003318
"KCNMB1" -7.34768000561596 5.77071091122481 132.893340070166 3.94066230744381e-07 0.000110219967003318
"HOXC8" 8.78356144252001 2.8168394547448 217.20334322287 3.9748084801517e-07 0.000110219967003318
"KLHL31" 7.19313833222922 3.67541505030514 130.187629331031 4.34182065865621e-07 0.000117996767800148
"RPUSD4" 3.18794082312641 5.93148618252187 129.258731383984 4.49070893154885e-07 0.000117996767800148
"MYH11" -7.45653761116235 12.2959981720102 129.255907297021 4.49117083538257e-07 0.000117996767800148
"TCAP" 10.3170293721874 10.063282733556 128.849893559629 4.55817448269566e-07 0.000117996767800148
"DWORF" 12.8326811774489 7.78775475887323 128.555252143223 4.60754947260812e-07 0.000117996767800148
"ACTA2" -5.29602255900947 9.63038976829658 128.4489953674 4.62551269856033e-07 0.000117996767800148
"ENDOG" 3.23962331915649 5.23406253724596 128.360901698788 4.64046902531487e-07 0.000117996767800148
"MB" 11.6938742533715 11.9841561803439 128.155705989229 4.6755319594912e-07 0.000117996767800148
"C19orf47" 3.31967261863589 5.99506762063331 127.304194796762 4.82446994827977e-07 0.000120190482853581
"CMYA5" 8.19410816654412 11.1978394643165 127.053057322634 4.86947773459591e-07 0.000120190482853581
"TCEAL2" -7.69108219287163 5.53123841896715 126.439761659116 4.98152204193043e-07 0.000120436204527796
"TMEM176B" -3.30409623501457 5.1360348827938 126.348536178406 4.9984509896873e-07 0.000120436204527796
"OPTN" 4.1962804402584 9.44390818412373 126.124637910871 5.04029349789094e-07 0.000120436204527796
"RAB36" -4.02675087350085 3.45938159895198 125.818954122986 5.09810008001785e-07 0.000120535185155032
"HABP2" 10.8326656433603 6.04613941887999 124.07750778721 5.44299735009275e-07 0.000124095047963283
"SMTN" -4.02641973405457 9.51838168476902 124.038114751376 5.45111719249471e-07 0.000124095047963283
"ASB10" 10.7924552599206 3.67505390428416 124.019948849911 5.45486650737581e-07 0.000124095047963283
"ALDH1L1" 5.13975918936737 6.64109346513845 123.948404435461 5.46966285934063e-07 0.000124095047963283
"MYBPC2" 12.2592278015852 9.92769037701588 123.127847798147 5.64285220228797e-07 0.00012674410331559
"TNNT3" 9.31275374247149 10.161234972281 122.534640439839 5.77215830133978e-07 0.00012836479961029
"LSAMP" -7.9290891225165 5.71701761549467 121.537134058799 5.99769380062784e-07 0.000131487041864214
"LMOD2" 12.3964564069831 7.82393172655565 121.399497609824 6.02963595210099e-07 0.000131487041864214
"MEIS2" -5.21935984352505 4.91502499281697 120.851279607306 6.15890472311789e-07 0.000132103990166815
"MHRT" 11.4635984575387 9.65422819535913 120.689354419864 6.19771998785294e-07 0.000132103990166815
"LMOD3" 10.4420910038695 6.78742277359523 120.296885710697 6.29302209772638e-07 0.000132103990166815
"CFAP46" 5.49241274833701 3.95234928219037 120.156406718951 6.32756037994923e-07 0.000132103990166815
"CLMP" -4.69048797351556 4.22976516926628 119.887734602549 6.39425119961612e-07 0.000132103990166815
"MYEF2" -4.01928594980577 5.45364504399503 119.674410167411 6.44780399406532e-07 0.000132103990166815
"SEMA3A" -6.44314373567103 3.19462050106256 119.420839875111 6.51216092437012e-07 0.000132103990166815
"LOC101927521" 11.3427109556154 4.23549737654232 191.276109078378 6.52844615489804e-07 0.000132103990166815
"JSRP1" 9.35855878236098 6.11800888570247 118.321551092924 6.8002242469158e-07 0.000134669968211864
"PGM1" 5.04654340581264 9.07242781942287 118.253646150266 6.81851400355985e-07 0.000134669968211864
"COX5A" 3.3954068014927 7.45606161987797 118.192159395179 6.83512594103224e-07 0.000134669968211864
"CLCN4" 6.64325983441726 6.4206617416419 117.164114263385 7.12019231466562e-07 0.000139066643112787
"CHRND" 15.4418166888682 5.93151795886984 186.154215226533 7.25601370518966e-07 0.000140020333902507
"RAD23A" 3.15211864960065 8.53954618139944 116.562241097778 7.29369977587519e-07 0.000140020333902507
"ARHGEF26-AS1" -6.78958313870305 2.72720144074106 116.269676549263 7.37986835292048e-07 0.000140473917860125
"ANKRD2" 9.33753543620542 5.94155714021839 115.621349571686 7.57520584321873e-07 0.000142980418860955
"ARHGEF26" -5.3639233924492 5.70268258116876 114.896793190416 7.80089204485541e-07 0.000144847427618452
"CKM" 12.5196494499354 13.2907999182829 114.745301995685 7.84909221842579e-07 0.000144847427618452
"LOC100996724" 4.55087078630126 8.81863397953046 114.571669927625 7.90477667519258e-07 0.000144847427618452
"NDE1" -5.53604819862254 8.2742544970393 114.487084531054 7.93207497309541e-07 0.000144847427618452
"MYL2" 12.4454643028999 10.7535626433808 113.817446824416 8.15222264936312e-07 0.000146673761501736
"HEPH" -5.96291058499817 5.25211026833613 113.786145855298 8.16269097000002e-07 0.000146673761501736
"ACTN2" 11.2736197044452 10.6637148127391 113.469719929026 8.26942646840486e-07 0.000147412371354636
"FOXF2" -4.69896958762358 4.07918528200204 113.218190265274 8.35546625065067e-07 0.000147717870217697
"LOC100506114" 5.43220366157661 4.35445911678435 113.037039336457 8.41809687363216e-07 0.000147717870217697
